Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (14.086s)
---------------------------
---------------------------
49 30 16.4442
22 36 16.4442
13 30 16.4502
38 36 16.5422
39 36 16.5542
16 36 16.6042
6 39 16.6162
10 39 16.6442
28 39 16.6562
46 30 16.6842
36 30 16.7242
5 36 16.7362
30 2 16.8442
38 30 16.8682
34 30 16.9242
17 36 16.9242
16 30 17.0502
44 1 17.0842
13 36 17.0842
25 39 17.1362
33 36 17.1642
48 1 17.2342
17 39 17.2502
11 36 17.2622
8 30 17.2742
5 30 17.2842
36 39 17.2902
12 39 17.3242
13 30 17.4502
22 30 17.5642
39 30 17.5642
7 39 17.6502
24 2 17.6842
33 39 17.7082
25 30 17.7142
19 39 17.7142
6 30 17.7642
14 30 17.7702
41 39 17.8102
39 2 17.8442
11 30 17.8902
36 30 17.9082
10 36 18.0162
23 1 18.0442
33 30 18.0622
12 36 18.1362
16 36 18.1642
20 1 18.2222
28 30 18.2442
49 36 18.2842
25 36 18.2962
7 30 18.3142
17 36 18.3642
35 39 18.4922
48 39 18.6162
17 30 18.6442
49 39 18.6502
34 39 18.6962
36 1 18.7242
35 30 18.8442
19 36 19.0042
6 36 19.0102
33 39 19.1642
35 39 19.2742
5 39 19.3242
8 39 19.3302
25 30 19.3762
19 30 19.4442
41 36 19.4442
14 36 19.4842
23 2 19.6442
25 39 19.6502
12 30 19.6562
6 30 19.6842
46 39 19.6902
22 36 19.7702
17 36 19.7762
15 30 19.8442
38 36 19.8902
29 39 19.9242
11 39 19.9302
